Filename,Total # tests,Failed tests (any),Failed Chi^2 tests,Failed min. pass tests,Normal tests,NonOverlappingTemplate,RandomExcursions,RandomExcursionsVariant
hackrf-no-data-74000000.wav-125MB.wav_finalAnalysisReport.txt,188,162,162,162,14,148,8,18
hackrf-no-data-790000000.wav-125MB.wav_finalAnalysisReport.txt,188,162,162,162,14,148,8,18
hackrf-no-data-862000000.wav-125MB.wav_finalAnalysisReport.txt,188,162,162,162,14,148,8,18
hackrf-no-data-95000000.wav-125MB.wav_finalAnalysisReport.txt,188,161,161,161,14,148,8,18
hackrf-normal-data-1300000000.wav_finalAnalysisReport.txt,188,162,162,162,14,148,8,18
hackrf-normal-data-145800000.wav_finalAnalysisReport.txt,188,162,162,162,14,148,8,18
hackrf-normal-data-1559000000.wav_finalAnalysisReport.txt,188,162,162,162,14,148,8,18
hackrf-normal-data-2200000000.wav_finalAnalysisReport.txt,188,162,162,162,14,148,8,18
hackrf-normal-data-433000000.wav_finalAnalysisReport.txt,188,162,162,162,14,148,8,18
hackrf-normal-data-790000000.wav_finalAnalysisReport.txt,188,162,162,162,14,148,8,18
hackrf-normal-data-862000000.wav_finalAnalysisReport.txt,188,162,162,162,14,148,8,18
hackrf-normal-data-95000000.wav_finalAnalysisReport.txt,188,161,161,161,14,148,8,18
random.bin_finalAnalysisReport.txt,188,157,157,149,14,148,8,18
